Village,risque_moyen_2026,risque_max_2026,mois_pic_2026,Province,Détection tardive,Animal non attaché,Source d'eau contaminée,Infection non isolée
DARASSALAM 2 | MANGUEIGNE | HARAZE,0.0038191822914122177,0.0060488788565757285,2026-07,SLM,0.5,1.0,0.0,0.0
MBAIGORO | KOKAGA | SARH,0.0038151767033433905,0.005798439464615703,2026-07,MC,0.0,1.0,0.0,0.0
DJANGARA | DAHA | HARAZE,0.0038135068991501536,0.005180310028537411,2026-07,SLM,0.0,0.5,0.0,0.0
BOROMADA 1 | BANDA | SARH,0.0038047598772627113,0.006011376623887894,2026-07,MC,0.0,0.5,0.5,0.5
15ANS | 15ANS | SARH,0.0037978949677188244,0.009478322481953,2026-07,MC,0.5,0.5,0.5,0.5
BADI | BANDA QUARTIER | SARH,0.003795656050261887,0.005591528780805773,2026-07,MC,0.5,0.5,0.5,0.5
NDOUBARI | MICHETIR | HARAZE,0.003795656050261887,0.005591528780805773,2026-07,SLM,0.0,1.0,0.0,0.0
GODILA 1 | MAIMANA | DANAMADJI,0.003795656050261887,0.005591528780805773,2026-07,MC,0.0,1.0,0.0,0.0
MOUDJIRO | BANDA | SARH,0.0037929230049935877,0.00959532629736515,2026-07,MC,0.0,0.3333333333333333,0.0,0.0
TABRANGA | SOUDIO | MOULKOU,0.0037860728218174536,0.005591528780805773,2026-07,MKE,0.5,1.0,0.5,0.5
GASSE | ONOKO | MASSENYA,0.0037860728218174536,0.005591528780805773,2026-07,CB,0.0,1.0,0.0,0.0
GOLE NANGUIGOTO | NANGUIGOTO | GUELENDENG,0.0037860728218174536,0.005591528780805773,2026-07,MKE,0.0,0.5,0.0,0.0
HAMAKARA | GABRI-NGOLO | LAI,0.003783423977574231,0.005985139349082161,2026-07,Tandjile,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.14285714285714285
MOLGUIDI | KOKAGA | SARH,0.003747772176862452,0.006480736701067165,2026-07,MC,0.0,1.0,0.0,0.0
KEMRIMBE | BANDA | SARH,0.003737289973903853,0.005591528780805773,2026-07,MC,0.5,0.5,0.5,0.5
MOGROM CENTRE | MOGROM | GUELENDENG,0.0037342851638293164,0.005591528780805773,2026-07,MKE,0.0,0.5,0.0,0.0
MOURAI HOUSSA | KELENGUE | BAILLI,0.0037342851638293164,0.005591528780805773,2026-07,CB,0.0,0.5,0.0,0.0
KOLKIGNA | DAHA | HARAZE,0.0037342851638293164,0.005591528780805773,2026-07,SLM,0.0,1.0,0.0,0.0
YADAWA | GUELENDENG 2 | GUELENDENG,0.0037231649690276573,0.005968870882099917,2026-06,MKE,0.5,0.0,0.0,0.0
MAINGARA 2 | MAINGARA | SARH,0.003711471841440631,0.006304993366516042,2026-07,MC,0.0,0.8,0.2,0.2
MAYO 2 | MANDA | BALIMBA,0.0037075095463342186,0.005015032375909811,2026-07,MC,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5
BAILLI 1 | BAILLI 1 | BAILLI,0.0037053539176811197,0.005650059063539744,2026-06,CB,0.5,1.0,0.5,0.75
BALE SINGAKO | MAYO 1 | BIOBE,0.003696972301720192,0.006190320788513791,2026-07,MC,0.0,1.0,0.3333333333333333,0.6666666666666666
DOUGMAYO | LAI | LAI,0.0036933422914729483,0.005979334091827586,2026-07,Tandjile,0.0,0.5,0.0,0.0
NGANGA | KOUNO | KOUNO,0.0036861271841211866,0.005392089495375057,2026-07,CB,1.0,0.0,1.0,1.0
MOURAI | NIELLIM | KORBOL,0.0036861271841211866,0.005392089495375057,2026-07,MC,1.0,0.0,1.0,1.0
WAITAN | NIELLIM | KORBOL,0.0036861271841211866,0.005392089495375057,2026-07,MC,0.0,0.0,0.0,1.0
TARANGARA | BAMBARA | DANAMADJI,0.0036858315585005055,0.004772341170548791,2026-07,MC,0.0,0.16666666666666666,0.0,0.0
DJINGDRA 2 | TCHAOUEN | BENOYE,0.0036830768619221595,0.005672007382999574,2026-07,LOC,0.0,1.0,0.0,0.0
YANGA | KOUYAKO | KYABE,0.0036830768619221595,0.005672007382999574,2026-07,MC,0.0,1.0,0.0,0.0
MIABESSE | DAHA | HARAZE,0.0036800244524641695,0.005525583796345912,2026-07,SLM,0.0,0.0,0.0,1.0
MOULFONG 2 | GUELENDENG 2 | GUELENDENG,0.003670997269862431,0.010278760671055058,2026-06,MKE,1.0,0.0,1.0,1.0
NDOUMABE | KOKAGA | SARH,0.0036540552435526167,0.006012817710934313,2026-07,MC,0.0,1.0,0.0,0.0
GOUSSOU | BERE | GUELENDENG,0.0036504620720523837,0.0059877281494285315,2026-06,MKE,0.2,0.0,0.2,0.4
KABALAYE | MOGO 1 | BOUSSO,0.0036495517623243447,0.0056651854313478816,2026-07,CB,0.0,1.0,0.0,0.0
DARADJA | DARADJA | BAILLI,0.0036495517623243447,0.0056651854313478816,2026-07,CB,1.0,1.0,0.0,0.0
KIMANDAKO | MAYO 2 | BIOBE,0.0036495517623243447,0.0056651854313478816,2026-07,MC,0.0,1.0,0.0,0.0
DOUBADANA | MAIMANA | DANAMADJI,0.0036470835807795826,0.006116287032662456,2026-06,MC,0.0,1.0,0.16666666666666666,0.16666666666666666
MANDA | MANDA | BALIMBA,0.0036314856193040246,0.005610956093452591,2026-07,MC,0.5,0.0,0.0,0.0
KANA GASSANG | MILTOU | KOUNO,0.003627211249945688,0.005392089495375057,2026-07,CB,0.0,0.0,0.0,0.0
PARIS SAKOULA | MOUSSAFOYO | DANAMADJI,0.003624528525044126,0.005070148542526487,2026-07,MC,0.0,0.5,0.5,0.5
GOURLONG | GUELENDENG 2 | GUELENDENG,0.003608666310613006,0.010278760671055058,2026-06,MKE,0.0,0.0,1.0,1.0
MIDJOUE | GUELENDENG 3 | GUELENDENG,0.003597603981602657,0.005968870882099917,2026-06,MKE,0.2,0.2,0.0,0.0
MAIMOU | BEMOULI | BALIMBA,0.0035885326056609873,0.005906055902394288,2026-07,MC,0.3333333333333333,0.0,0.0,0.5
NGONBA | NGONBA DJANGA | 9E ARRONDISSEMENT,0.003580418854465628,0.019861007778046186,2026-05,NDJ,0.5,0.5,0.5,0.5
MOUTOUMBIM | BAMBARA | DANAMADJI,0.0035787411574637637,0.005088630943694877,2026-07,MC,0.0,0.0,0.0,0.0
MABAYE | GAMBAROU | MANDELIA,0.0035739920995666655,0.005851101481787808,2026-08,CB,0.0,0.6666666666666666,0.0,0.3333333333333333
DOKOU | KOKAGA | SARH,0.0035720137296455646,0.005631398762052227,2026-07,MC,0.0,0.0,0.0,0.0
DOGUIGUI | KOKAGA | SARH,0.0035720137296455646,0.005631398762052227,2026-07,MC,0.0,1.0,1.0,1.0
BOUDANASSA LAMBE | GUELENDENG 3 | GUELENDENG,0.003571583771977546,0.005968870882099917,2026-06,MKE,0.25,0.0,0.0,0.25
WITI-WITI CENTRE | SANANG | GUELENDENG,0.0035715212712986518,0.005500019989164589,2026-07,MKE,0.0,1.0,0.0,0.0
JERUSALEM | BANDA | SARH,0.003549720549930581,0.00552349551163913,2026-07,MC,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
KIDJIMINA 1 | KALME | BERE,0.003544895957895498,0.005985139349082161,2026-07,Tandjile,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
